fecha,producto,anonima,carrefour,coope,coto,jumbo
2025-08-05,Cremoso . Canut Xkg,,,,11345.0,
2025-08-05,Cremoso Fraccionado TREGAR X Kg,,,,12999.0,
2025-08-05,Cremoso PRIMERA MARCA Xkg,,,,6889.0,
2025-08-05,Cremoso Vacalin Fraccion Paq 400 Grm,,,,5869.0,
2025-08-05,Queso Cremoso COTO 400 Gr,,,,5739.0,
2025-08-05,Queso Cremoso Cremón Doble Crema Fraccionado La Serenísima x 1 kg.,16400.0,15189.0,,,
2025-08-05,Queso Cremoso Cremón Doble Crema Paquete Por Kg La Serenisima,,,,,15743.0
2025-08-05,Queso Cremoso Cremón Horma Fraccionado La Serenísima x 1 Kg.,14350.0,,,,
2025-08-05,Queso Cremoso Cremón Horma La Serenísima x 1 Kg.,,14315.0,,,14190.0
2025-08-05,Queso Cremoso Cremón La Serenísima x 1 kg.,15450.0,14329.0,,14835.0,14865.0
2025-08-05,Queso Cremoso Cuisine & Co Por Kilo,,,,,9990.0
2025-08-05,Queso Cremoso Don Firticchio Trozado Envasado 1kgs,,,8900.0,,
2025-08-05,Queso Cremoso Ecoop Sin Sal Trozado Envasado 1kgs,,,9950.0,,
2025-08-05,Queso Cremoso Fraccionado La Paulina x 1 kg.,11400.0,,,,
2025-08-05,Queso Cremoso Fraccionado Silvia 1kg,,,,13999.0,
2025-08-05,Queso Cremoso Horma Fraccionada Barraza x 1 Kg.,9650.0,,,,
2025-08-05,Queso Cremoso Horma Fraccionada Noalsa x 1 Kg.,7500.0,,,,
2025-08-05,Queso Cremoso Horma Fraccionada x 1Kg.,10500.0,,,,
2025-08-05,Queso Cremoso La Maria Pilar X Kg,,,,8399.0,
2025-08-05,Queso Cremoso La Paulina - Mínimo 1 Kg,,,,,9990.0
2025-08-05,Queso Cremoso La Paulina Doble Crema x kg.,11950.0,11899.0,,11899.0,
2025-08-05,Queso Cremoso La Paulina Trozado x 1 kg.,11150.0,,,,
2025-08-05,Queso Cremoso La Paulina x 1 kg.,,8990.0,,11299.0,
2025-08-05,Queso Cremoso Puyehué Trozado Envasado 1kgs,,,8900.0,,
2025-08-05,Queso Cremoso Saint Paulin Horma Fraccionada La Paulina x 1 Kg.,9650.0,,,,
2025-08-05,Queso Cremoso Trozado La Anónima x 1 kg.,13800.0,,,,
2025-08-05,Queso Cremoso Trozado Punta del Agua x 1 kg.,12900.0,,,13399.0,
2025-08-05,Queso Cremoso Trozado Tregar x 1 kg.,14650.0,,,,
2025-08-05,Queso Cremoso fraccionado Punta del Agua x Kg.,11900.0,,,12299.0,
2025-08-05,Queso cremoso Cerutti fracc x kg.,,14920.0,,,
2025-08-05,Queso cremoso Classic x kg.,,11200.0,,,
2025-08-05,Queso cremoso Cremac x kg.,,9800.0,,,
2025-08-05,Queso cremoso El Puente horma x kg,,10500.0,,,
2025-08-05,Queso cremoso La paulina fraccionada origen x kg.,,13080.0,,,
2025-08-05,Queso cremoso Los 4 Hermanos x kl.,,12110.0,,,
2025-08-05,Queso cremoso Puyehue horma x kg.,,8990.0,,,
2025-08-05,Queso cremoso Sudamlac x kg,,10810.0,,,
2025-08-05,Queso cremoso Tremblay trozado x kg.,,11550.0,,,
2025-08-05,Queso cremoso horma Supercrem x kg.,,12139.0,,,
2025-08-05,Queso cremoso procesado Los 4 hermanos 250 g.,,2590.0,,,
2025-08-05,Queso cremoso sin sal Bonne vie bajo lactosa x kg.,,36770.0,,,
